Trial,PriorRate,StartYear,P1rate,P2Rate,PostRate,Spruce_estab_cost,Fir_estab_cost,Beech_estab_cost,UncertaintyFactor,Wood_C,Spruce_area,Fir_area,Beech_area,Total_timber,Salvaged_timber,Average_standing_timber,Shannon,DCF,SEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.02,20,0.02,0.02,0.02,-2000,-2000,-3000,3,72.43212972,0.415846035,0.508518292,0.075735673,912.7189222,75.64489808,258.0396024,3.114929526,23264.78108,4330.311694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.015,20,0.015,0.015,0.015,-2000,-2000,-3000,3,73.34141539,0.389955661,0.497526665,0.112517674,889.2723512,75.77934981,260.5837633,3.204508601,23119.9395,8106.955404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.01,20,0.01,0.01,0.01,-2000,-2000,-3000,3,78.23454105,0.379809346,0.488022928,0.132267726,944.9048357,80.5139174,282.3347293,3.256265036,24633.50093,18260.54828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.005,20,0.005,0.005,0.005,-2000,-2000,-3000,3,74.04606654,0.363508297,0.466370784,0.170220919,912.0036557,74.74481134,274.5405793,3.323533743,22785.59595,46035.62385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.015,20,-0.005,-0.005,0.015,-2000,-2000,-3000,3,73.37366781,0.384287406,0.484471065,0.131341529,939.3304706,73.57848858,272.7049264,3.272130686,22997.06369,16835.85402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.015,20,-0.01,-0.01,0.015,-2000,-2000,-3000,3,72.03026143,0.389049361,0.488150666,0.122899973,940.0413976,72.13355033,272.4314939,3.265958328,22629.73606,19998.42036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015,20,-0.02,-0.02,0.015,-2000,-2000,-3000,3,68.72324673,0.384357443,0.478594676,0.137147882,923.625156,68.46012968,267.5600841,3.297246985,21362.34583,27586.47806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.015,20,-0.03,-0.03,0.015,-2000,-2000,-3000,3,65.27374529,0.383198924,0.474894523,0.142006553,910.8150328,64.59858413,264.0982494,3.308436796,20146.17362,38886.33303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.015,20,-0.04,-0.04,0.015,-2000,-2000,-3000,3,63.4272852,0.368556481,0.457369415,0.174174104,887.7313199,62.78867944,258.7948211,3.34658884,19317.09142,54195.00947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.015,20,-0.05,-0.05,0.015,-2000,-2000,-3000,3,56.58708162,0.359640587,0.504983154,0.135376259,875.5547823,51.05299878,263.8868683,3.235423524,16974.93527,81681.10104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
